DateTime, Active Energy Import (kWh)
20/03/2023 01:00:00, 0.613
20/03/2023 01:30:00, 0.477
20/03/2023 02:00:00, 0.203
20/03/2023 02:30:00, 0.146
20/03/2023 03:00:00, 0.56
20/03/2023 03:30:00, 0.174
20/03/2023 04:00:00, 0.132
20/03/2023 04:30:00, 0.534
20/03/2023 05:00:00, 0.166
20/03/2023 05:30:00, 0.107
20/03/2023 06:00:00, 0.336
20/03/2023 06:30:00, 0.324
20/03/2023 07:00:00, 0.079
20/03/2023 07:30:00, 0.345
20/03/2023 08:00:00, 0.284
20/03/2023 08:30:00, 0.078
20/03/2023 09:00:00, 0.097
20/03/2023 09:30:00, 0.488
20/03/2023 10:00:00, 0.116
20/03/2023 10:30:00, 0.071
20/03/2023 11:00:00, 0.317
20/03/2023 11:30:00, 0.085
20/03/2023 12:00:00, 0.429
20/03/2023 12:30:00, 0.509
20/03/2023 13:00:00, 0.144
20/03/2023 13:30:00, 1.212
20/03/2023 14:00:00, 0.877
20/03/2023 14:30:00, 0.392
20/03/2023 15:00:00, 0.53
20/03/2023 15:30:00, 0.069
20/03/2023 16:00:00, 1.326
20/03/2023 16:30:00, 1.187
20/03/2023 17:00:00, 0.451
20/03/2023 17:30:00, 0.889
20/03/2023 18:00:00, 1.81
20/03/2023 18:30:00, 0.861
20/03/2023 19:00:00, 0.792
20/03/2023 19:30:00, 1.204
20/03/2023 20:00:00, 0.712
20/03/2023 20:30:00, 0.741
20/03/2023 21:00:00, 0.19
20/03/2023 21:30:00, 0.166
20/03/2023 22:00:00, 0.624
20/03/2023 22:30:00, 0.313
20/03/2023 23:00:00, 0.187
20/03/2023 23:30:00, 0.147
21/03/2023 00:00:00, 0.584
21/03/2023 00:30:00, 0.27
21/03/2023 01:00:00, 0.204
21/03/2023 01:30:00, 0.436
21/03/2023 02:00:00, 0.363
21/03/2023 02:30:00, 0.087
21/03/2023 03:00:00, 0.083
21/03/2023 03:30:00, 0.497
21/03/2023 04:00:00, 0.234
21/03/2023 04:30:00, 0.066
21/03/2023 05:00:00, 0.131
21/03/2023 05:30:00, 0.56
21/03/2023 06:00:00, 0.075
21/03/2023 06:30:00, 0.056
21/03/2023 07:00:00, 0.449
21/03/2023 07:30:00, 0.632
